source_index,label,lot_id,map_sha256,split,cache_index
6,none,lot1,4661672d1ea0802d6d34dfa1822b0889a8c9af892b54a1842d40c6a63a36ffeb,train,0
10,none,lot1,72c33a689aec128245225332df499a5617400d65d5f28fcabff84c16c5d532f8,train,1
19,Loc,lot1,263ddb3b2079cab0accb322f07e7a31d3ae18218596e41f0308ec724246b58b7,train,2
21,none,lot1,1e56358e917d5920e53154e6aec4bf7fb2b22305b616577e743e0c5760c84f83,train,3
36,Edge-Loc,lot2,837fe96eae7b41dc408d8eb66e299b18dee963baf95b2d8f46bf8483204cc90e,train,4
42,Edge-Loc,lot2,698225c199b035e6d3ba27801b2377e8d9118f894fa0abbbbb24d90c29269631,train,5
43,Edge-Loc,lot2,3e3a7349d5698ef17006298831faee8e0435bc61349bc807bd63b1cb84218fd6,train,6
44,Center,lot2,04c74f872c20fc34996cfd7521fb92897e3f5008834ee0a42eefa0bab3a36f51,train,7
47,Loc,lot2,88d00b1b19c119104270ee1c193c6466b4b585a9520fc3d15c8500b7342798db,train,8
60,none,lot3,f0e31beee936825d7f2928c2453912add1b62887350d99e079782b980db188a0,train,9
71,none,lot3,38b7aec2bbd8a124f83d922ea355a41ac6c97a890af1f9e6abae9ebcfcfc927e,train,10
100,Edge-Ring,lot5,c406e414c0e9d1ae0ee7b6b8f8e6af62ebe8f19fc51152924712ba6b9396721e,train,11
134,Scratch,lot6,76916075f70a9998cd052f91d379486b10ff8e79fa35df168966aeeb01918b92,train,12
138,none,lot6,09f4299ffb1b573be292c384dd36a15266dc50ff17641806cdda4da246168ae1,train,13
179,none,lot8,c96be40314f55469546ab4b7f4ee1ce3072f2da79aa82ccc62d9b6f952900793,train,14
186,Edge-Ring,lot8,a6ccbdf50d7fa7abf455bcba1a8bc468463879b0953b2874076c222c339e336e,train,15
201,none,lot9,d7dc14bb1e6bfe9365b7b6f8f444e9f3af390966fa6da849edbb04980741a8a6,train,16
207,none,lot9,fdb3a9684ad2889efa074d92d6f370247c6c3b507899163297c1e651219523c0,train,17
210,none,lot9,b546fc1483173dfa064ebb8bd378919f1d0e3fe438bb44a1136495e74fb19de1,train,18
220,none,lot9,832c35254dd73969ec0bada9e2a676561222526e5f4ceebc25d9cd85f78e08d8,train,19
223,none,lot9,b9e393661016253f9d140bfaf48b591f06aa3ab770a6904901294a7e557855cb,train,20
249,none,lot10,d83d755efb4384b895616ee8294f9b1ac078225d09a7732a9b1983639d8282de,train,21
332,none,lot14,3cce3e8b456271aea04d7526fdebec1b30a774eb9af5f7be48edb6e843193617,train,22
356,none,lot15,fcd15aa6e2cf3fb0cdfdf44988446bdd93f87a77a07d541b4f2beb64063dc893,train,23
364,none,lot15,695fd92148d2ab07034b946cd0a8b426fdb080dd2163923772842372c4b9c70d,train,24
381,Edge-Loc,lot16,daebf8ab43c2181f6618ffc67aaa10e0da94cb53a8d6c5ac6bbaed0fc567680c,train,25
397,Edge-Loc,lot16,c831b8f6a6a930d48523aa027f9ad57a5d072cfa886d8fe77d72540662798500,train,26
446,Edge-Loc,lot18,88c6baf05c98f7d20750d984bb87be0462da55e270887a9397a655396274c212,train,27
470,none,lot19,d1f8f444c9251ef34c4249af4c210688854ee8bf09f82bd27c33f9051cc7e1bc,train,28
484,none,lot20,d3cf07595c0789f3753a73c4279f906745d14fdc65c8bc66554b854786251d41,train,29
539,none,lot22,26ca12b178b6dd0a28f565b3a45432c00e5f326c010f4d8add7b2c552c0671b1,train,30
599,Scratch,lot24,80feb6c8955ba3fea9bb50b5256bff29c6a94673217a88819d5f9437474b129f,fresh_audit,31
602,Random,lot25,11594726836d8819b2a1e4402f8888138537e6715533346a949fc88d371a29b1,train,32
604,Center,lot25,3934561ddb97283a1ff184a3d1f7829e8aacdec4e96a04938a7edcc785f7fa42,train,33
612,none,lot25,5dbc6ff290a2d0ac8082a9f848eb8e58f59c218e8fef4bf62b60dbcf263fb79b,train,34
618,none,lot25,68751145c25beedd421d793dd374b56f4e7148a5818c045156f1297fcb4e5a4b,train,35
625,none,lot26,8df45ae2ca32332b01ee9aad7ce576e0eabd24a2d808d2bafb043bad7e52a174,train,36
650,none,lot27,21b75a4bcd8434ee8aa13783fdbaa9ee549af4f4e9dafce8a1616c652b82036f,train,37
659,none,lot27,17a5d3d1f86ebcf94fe65bba9a8ff2ef43569fd38f7009033c83a1010bae441c,train,38
662,none,lot27,9866c7ee6f49c26914dc478cf772cb903e0fddb2e345383fe70c211dd9fbeec2,train,39
668,none,lot27,2493b00d81254c0f8b40f54573ddd452ca3d2f0f3993f6321c5af9dd37fd3c9a,train,40
700,none,lot29,eae54e0b3dd809f58534b05e9e6f3a9da6f5ca7ed41d84b5f04e872b0ce3a958,fresh_audit,41
743,Scratch,lot30,475e197abffdeae1cb221bc64d9fcc97e8dca0e5472e0298e024258dfb9c82c2,train,42
787,Edge-Loc,lot32,25f6db8c115be7481124a73f34fc2c57d8e8d4352081b061e44f53b99e75b1f5,fresh_audit,43
808,Edge-Loc,lot33,3deed1e1621ef22e81912646a8d18ad1beee9813703763a2f15870300ee12348,train,44
809,none,lot33,41cc533965463c18a940629902dd151acd0ee2f4c3c593cf1b98df74fa8efb29,train,45
824,Loc,lot33,925b482214ac62c26d39fd19f7733bd49e214beceb0307b46255af193cf0f8db,train,46
893,Center,lot36,438c051ac9a08025d6fddeada3d1be5f6a2e5082ed13ea09739479b0b6605baf,fresh_audit,47
929,Near-full,lot38,33340856158f9f1d3498e08f512716fa0ad3e069d3986880fa1981e8a17dba59,train,48
937,none,lot38,0306530afb2560b4e9434abb59dbd1d27d965c872eb9e42000be2a021b8ce9ea,train,49
952,Edge-Loc,lot39,eca93825fad6d246bef368cf7a79c46adf089e487ad8505ac3701a74602096cc,train,50
968,none,lot39,517b494578af6afa7926c470aff607f3ab468bc0ca9f21f36e19ec0dbb854f0e,train,51
983,Random,lot40,702be0253c474eb7fe99cf2694a83f09e313ba51ad0fb94b5b71ea9d21457848,train,52
1125,none,lot46,f02bc2f247280956a891b7aca8888d017270b493edd532aad91a0e59cbca47a0,train,53
1155,none,lot47,c0dd21b33259d71ea47f6e31281db38715a4942a7d31452f8c720e5601bf7154,train,54
1159,none,lot47,7aecf90dbbc789eafe006f5433bc48c109c095fbc0cd85e38c1b01bddd73c971,train,55
1165,none,lot47,5466a82cc931b7a03274cf82a27ad9b4af62c22994f094234fbabf517cd80518,train,56
1199,Random,lot48,a681d9280243ecb71c9f2890be7118fc33948c44ea8293a32e5f03af03eb1838,train,57
1213,none,lot49,845e1ada74e563e32a0466245d70bf9a2c09b1d70398bd0e3629607e8f262f15,fresh_audit,58
1221,none,lot49,a42c0ac078bbb75e4272982d35ac7301723bf83b700544c86b5e4bdb2928ccda,fresh_audit,59
1242,Loc,lot50,4ebad797cbc976c86f56a38e8334e0354cb2b73a4e11cd80725721fbe9b9e024,validation,60
1276,none,lot52,decefb6af3294c52c2ee5f710c9e1f496f78951a7bb78f90b7adf1e51dc53349,train,61
1289,none,lot52,149d27c11bc8c51639e3aa1d21c8500ea4e01b0cb98c2d99b4c7f8782a4d2e96,train,62
1291,none,lot52,e38843b78361cf2432a8ec4f5c858a0526151ad4d9fb821cb95e33b8c2f3394b,train,63
1295,none,lot52,2c1fb179f271b4d134beb53c519d327617b86053639f324c8756036a9a75332d,train,64
1298,none,lot52,5ad5045bbe10d4e4a5bfdbee7eb365d929ad3d67ba6f357f58b693eab5a3aca6,train,65
1314,none,lot53,c77d75bcc50c36921f469f470c103c2c0f53aaee66dd6fa56f0ff519e9d952fa,train,66
1328,none,lot54,be0497952d8b6971a4ceabb10f4601a9f38261ac20c10c698047c2da98eeb6c1,train,67
1508,none,lot61,61654b6d66b66bd349fead2f522c5a7781d5e3c36cc2313e35437c704f8c6d60,train,68
1510,Edge-Loc,lot61,0216d67746e46fc9913c7ba6fb5d166f09819bd8bb1083f59ab3738d081ade61,train,69
1562,Random,lot63,6ca20468f8a8a12f82931941215a6ddce9846f93d6a28e1c584f395e3410ce0a,train,70
1574,Loc,lot63,631bad443d1c00baafd0d949298345dbebe470b6c9a788f1b7e7775aeeb243e1,train,71
1592,Scratch,lot64,62833720d8ce824d2b7c8dab63745b4094c3d72274af7060eb760f5dd0a609ed,train,72
1660,Loc,lot67,67c28d102990987e0add423104d890d5803cc96b456ee5fe294107f58334328b,historical_test,73
1721,Random,lot69,40dac00c7ef057702f9b33250082a467631149efed18a65996e6df4224be2efa,train,74
1729,none,lot70,e28adf16eb88f7c2356526f6da027d6e66e4e9ad544c5e5724f4284691409f5c,train,75
1767,Loc,lot71,134c06e3ddab11ce0676e4a4d0713298835a423fb9b56d748f6dc957e1427c40,train,76
1827,none,lot74,32e009bf4364fa1508a5f9b8497fc2ef491c282c272bf75ac570582914f0bada,train,77
1842,none,lot75,0c8d5a2fcaaa91eeb0ad0be77d1d9398d7fa0c33e7b86ef7172b5beabe826d45,train,78
1874,none,lot76,fbd7fadb0e5fbf2b66b15bad2f62c5d318d438bd5c4bb1700c37a920ea3af716,fresh_audit,79
1917,none,lot78,f7ace3e73285da57891eb2861bd655b16348be53ec191def347cb8f91e414820,train,80
1918,none,lot78,042664db1841d085a90133402619f1684d27c0aaae60b9874c4246a0aaefb426,train,81
1999,Loc,lot81,5f26a1a6e1a08775db439c8483ec7b0bdaa02b72a2843a032d143cdbb83907f2,train,82
2100,Random,lot85,41435c911e5ca8532fe0f19c6b3d1dc4252b96b5e11f352e269d35c67b0036cf,validation,83
2121,none,lot86,b85cc5c5ef79fcc7a29516d34055eade7491381511f6c285f05c32249f6797c3,train,84
2126,Loc,lot86,e6faefd85b9447b0b1ca847eb4739d06ffd665a63cd1f789fb108b25cfbeb46c,train,85
2135,none,lot86,ad9bfae3f700776bcaf512f102e6f1cc5c1ec95b7fbeb23489734ab4e1003424,train,86
2140,none,lot86,789be58380c165491b52d17a4d4f9f19c9b2351566576f7b940508d671bf23cb,train,87
2146,Loc,lot87,d7684d46d72bcbb85d975ca00ba1cc30044b825a70941101c1d8e2ccd477c3f8,train,88
2187,none,lot88,4636d74b116eb3d087c88f517d24288fb9fc84ab2277e9bbd1653e0147bb50b4,train,89
2219,Near-full,lot90,dbc6a855fca62717721defa5c9ec8749f67734e9cefbf83c4e78af5e9804a8c3,train,90
2229,none,lot90,48e7a03f303e7b6151be7b4f7fa165a121432cbc96d895d122d95739458c9712,train,91
2270,Random,lot92,e9f658b12174c4e451398cceb282e74f666917fbb33e58df3106f16391b9e2e8,train,92
2271,Random,lot92,61b923ff073b5becc5e41665bd3e6cc603fd317aa8d39d7be6d8b16acd0bb9b7,train,93
2336,none,lot94,503a02d4227323c4bee7281ec90e600e900da1a33a5e65e14b58104a350a3431,train,94
2361,none,lot95,0b26130015653cc2b56d5dae1e198cdd48ddd245ffb26d36d7fa393b539e6ab1,train,95
2408,none,lot97,4782315ba66b7be8d77e364b193f579a6e0efc31def5e65ea2a8a5d88224e2f8,train,96
2440,none,lot98,1651f9bdfee8e75948cc0278fbd2d950aae0e43b82d3172f05c10fff24e8f72f,train,97
2476,none,lot100,001d747b56de01f224625b9dbc8126ade313c8b21657c98728485dc8553a6e41,train,98
2520,Scratch,lot102,36bdbaa637910fcf7a87432e347ce3c5fd00658f0f1bf06b1a383c64d4923867,train,99
2523,none,lot102,0d3f2321c885c50d072136f60403787782e5f7e16047859ee5369c432df92332,train,100
2524,none,lot102,3f72ca03d7c48200c41cd19c378836379ac176165d944773262cc6571c3fcdaa,train,101
2526,none,lot102,a4189d0d70d105e718f82770362c1ced9aecec39dd856a3c95197bc39b7cffc3,train,102
2528,none,lot102,5f07e629df69148a01d1bd39799127cf46402d2476e51f5daf2160f7c7c3bc0f,train,103
2530,none,lot102,e177fdd44d1646f537be1d4a22757fbb8094b1dab85a147b10f285f25a6d166d,train,104
2535,Edge-Loc,lot102,a6d5c3f87d130d7db2dca48d0d21cbfce3b1b68e2477d6c72eadb607319c751b,train,105
2547,none,lot103,5ed8dd818f1e19cb9974df474dcfc311290fcd49ec968d2213b57b6ffbba9540,train,106
2548,none,lot103,fb6883cf3510d6c801e08655e343fca919e289e51256ce0f51d3a351a5e36557,train,107
2565,Edge-Loc,lot103,89aa2cf3696ebc377b455f64cc8f8e5a1cd10367af9a3d1425c5176ac1da5b69,train,108
2621,Edge-Loc,lot106,28c05afcae73134eacbd1f9ba09f358c45f8cbf2280a9bfb072f59250a285657,train,109
2656,none,lot107,947d1b6435ec0c8d0c745668ac9970050879ce416287ccd39301ebb9eb2ecbfa,train,110
2672,Edge-Loc,lot108,0af0175503a96873677f8e62c831c8ec06ab7ab0b420aefd06c68b9e859c2c02,train,111
2681,none,lot108,056d86a7e4b52a73d606924461111ed25ccb1ced967165a23eeece07f69c9eb7,train,112
2682,none,lot108,96d03469e36ef4d2b26d575d60715285060aad1a2b0c466f6aa2ec684ac1f584,train,113
2698,Scratch,lot109,c97e341bb3a50fee02d5ecafb20b59c9d084108066b13631d0a904e213daf730,train,114
