source_index,label,lot_id,map_sha256,split,map_path
44,Center,lot2,04c74f872c20fc34996cfd7521fb92897e3f5008834ee0a42eefa0bab3a36f51,train,maps/0000044.npy
341,none,lot14,efd8a5a8f5c364a30e5eca250a80307bbce45712a91d28f3442c5de1c45e3d0f,train,maps/0000341.npy
602,Random,lot25,11594726836d8819b2a1e4402f8888138537e6715533346a949fc88d371a29b1,train,maps/0000602.npy
929,Near-full,lot38,33340856158f9f1d3498e08f512716fa0ad3e069d3986880fa1981e8a17dba59,train,maps/0000929.npy
952,Edge-Loc,lot39,eca93825fad6d246bef368cf7a79c46adf089e487ad8505ac3701a74602096cc,train,maps/0000952.npy
1199,Random,lot48,a681d9280243ecb71c9f2890be7118fc33948c44ea8293a32e5f03af03eb1838,train,maps/0001199.npy
1242,Loc,lot50,4ebad797cbc976c86f56a38e8334e0354cb2b73a4e11cd80725721fbe9b9e024,validation,maps/0001242.npy
1415,none,lot57,60a9c39d940642c3fd00875cb76653247b1b0c8ba416fca07255ac97bd0e04a1,train,maps/0001415.npy
1428,none,lot58,fdd9970984c37e04af8bdfc18fe5f8fc5fb3ce6b95bcef643ace8dad0dedded0,train,maps/0001428.npy
1562,Random,lot63,6ca20468f8a8a12f82931941215a6ddce9846f93d6a28e1c584f395e3410ce0a,train,maps/0001562.npy
1592,Scratch,lot64,62833720d8ce824d2b7c8dab63745b4094c3d72274af7060eb760f5dd0a609ed,train,maps/0001592.npy
1660,Loc,lot67,67c28d102990987e0add423104d890d5803cc96b456ee5fe294107f58334328b,test,maps/0001660.npy
2100,Random,lot85,41435c911e5ca8532fe0f19c6b3d1dc4252b96b5e11f352e269d35c67b0036cf,validation,maps/0002100.npy
2219,Near-full,lot90,dbc6a855fca62717721defa5c9ec8749f67734e9cefbf83c4e78af5e9804a8c3,train,maps/0002219.npy
2270,Random,lot92,e9f658b12174c4e451398cceb282e74f666917fbb33e58df3106f16391b9e2e8,train,maps/0002270.npy
2271,Random,lot92,61b923ff073b5becc5e41665bd3e6cc603fd317aa8d39d7be6d8b16acd0bb9b7,train,maps/0002271.npy
2368,Edge-Loc,lot96,0a155a564ad8405105be2fd816ded50b598b0452a79089173d605022295ae919,train,maps/0002368.npy
2401,none,lot97,82ee2891a5f63e256175cb5d87f30628aa109aa123a00aab5ef9f2e66e0402ae,train,maps/0002401.npy
2422,none,lot98,bed8ce935dd7e53ae4176f2422580514456bfd876bbbeb767a4e7c932fc85cac,train,maps/0002422.npy
2672,Edge-Loc,lot108,0af0175503a96873677f8e62c831c8ec06ab7ab0b420aefd06c68b9e859c2c02,train,maps/0002672.npy
2711,Edge-Loc,lot109,1430e7c164bbe348ad3e5f3e6d0563c5dfed26f7bec10b7c28214d565804e2a6,train,maps/0002711.npy
2721,Edge-Loc,lot110,bfcb12c28e24fe25a0b016af7a39d9578a732f625d82517f1bcf52fc877cd6f6,train,maps/0002721.npy
2859,none,lot115,18abd49c50591678b0f05b9f50355131eb0d8bbaaee18e8a816505babb799f85,train,maps/0002859.npy
3038,Scratch,lot122,87c12d614b4494f7d41e3a472d10327f3f87284d8c847de87820e9cf47cd3eb8,train,maps/0003038.npy
